,x,sku,sim
334,T79,T264,0.1975907367197759
335,T79,T278,0.177814884278754
336,T79,T280,0.07961077881241643
337,T79,T282,0.09061230056554556
338,T79,T283,0.16246276604998022
339,T79,T284,0.19022217197138805
340,T79,T281,0.19366857208939334
341,T79,T273,0.18719234786913572
342,T79,T279,0.2109613666672839
343,T79,T276,0.18401706491252542
344,T79,T275,0.21374602564706902
345,T79,T286,0.19803376825741784
346,T79,T288,0.19803376825741784
347,T79,T287,0.21440570574606138
348,T103,T42,0.25128410458214634
349,T103,T102,0.39737421465936223
350,T103,T106,0.3987768437519552
351,T103,T79,0.21578642324228312
352,T103,T75,0.11680988925701363
353,T103,T105,0.23370169615707573
354,T103,T107,0.4198281449044794
355,T103,T76,0.5683435924142657
356,T103,T80,0.7137349227433027
357,T103,T73,0.2614254227600275
358,T103,T71,0.2647432552457281
359,T103,T22,0.12141485749659928
360,T103,T10,0.5672457714064166
361,T103,T14,0.2551385371974649
362,T103,T40,0.23891606087259515
363,T103,T44,0.24681301113667062
364,T103,T45,0.2505965214291218
365,T103,T69,0.12266233168685761
366,T103,T70,0.24028765153572496
367,T103,T47,0.5607630610327229
368,T103,T3,0.5008510456590299
369,T103,T19,0.3984105164304147
370,T103,T41,0.2662511992759607
371,T103,T9,0.39557354030728004
372,T103,T7,0.35921690324851857
373,T103,T6,0.2642170701101081
374,T103,T77,0.3747955951069787
375,T103,T68,0.3976366447518547
376,T103,T55,0.265515860953324
377,T103,T54,0.13336861717063062
378,T103,T53,0.11066569726251008
379,T103,T4,0.14249673607528726
380,T103,T203,0.1250486584859061
381,T103,T274,0.2513234219440623
382,T103,T201,0.3771907507203876
383,T103,T209,0.23585068806865253
384,T103,T211,0.23398067794463978
385,T103,T212,0.10897360187457937
386,T103,T213,0.13258567237840022
387,T103,T205,0.427420874532055
388,T103,T217,0.21531648780577042
389,T103,T218,0.23344865310596621
